Name,Danger,Magician level,Remarks,Scores,Absenses,Lupin coef,Quidditch,Disease,Beans,Teacher,StickLevel,Volan-De-Mort
Ron,46,1,22,1,46,0.0,42,0.96,2,Sprout,1,8
Ron,47,8,0,1,24,0.98,20,0.74,2,Dumbledore,4,7
Harry,47,3,0,0,11,0.0,10,0.61,0,Dumbledore,3,4
Goyle,34,4,4,2,21,1.36,0,0.37,4,Trelawney,2,3
Hermiona,31,4,19,2,0,2.48,0,0.38,4,Snape,4,7
Crabbe,25,6,11,2,38,1.29,0,0.27,4,Sprout,3,2
Sedric,37,2,12,2,26,0.68,18,0.62,4,Mcgonagall,1,7
George,43,6,4,2,32,1.3,16,0.64,4,Mcgonagall,2,5
Draco,14,1,0,2,12,0.31,10,0.32,4,Dumbledore,1,8
Draco,12,9,1,2,13,0.57,9,0.31,4,Lupin,3,10
Harry,48,2,0,0,11,0.0,10,0.61,0,Dumbledore,2,3
Hermiona,32,3,18,2,0,0.0,0,0.38,4,Sprout,1,6
Ginny,6,4,20,3,32,1.4,20,0.32,3,Mcgonagall,2,6
Draco,21,9,26,2,38,1.68,16,0.38,4,Sprout,3,1
Fred,24,4,0,2,9,0.86,20,0.49,4,Dumbledore,2,5
Hermiona,37,8,29,2,0,2.74,0,0.38,4,Hagrid,4,1
Harry,0,4,10,0,21,0.0,20,0.21,0,Trelawney,2,1
Harry,45,3,2,0,13,0.0,12,0.63,0,Lupin,1,6
Harry,43,8,0,0,11,0.0,10,0.61,0,Dumbledore,4,8
Sedric,42,4,5,2,19,1.68,25,0.69,4,Snape,2,2
Draco,13,2,15,2,27,0.62,5,0.27,4,Hagrid,1,9
Harry,49,1,10,0,21,0.0,20,0.71,0,Trelawney,1,2
Draco,21,4,26,2,38,1.68,16,0.38,4,Sprout,2,1
Fred,27,6,23,2,32,1.39,3,0.32,4,Sprout,2,2
Goyle,32,8,26,2,43,2.41,0,0.37,4,Lupin,4,5
George,46,2,11,2,39,0.79,9,0.57,4,Snape,2,2
Sedric,41,4,0,2,14,0.57,30,0.74,4,Dumbledore,2,3
Crabbe,25,4,11,2,38,1.5,0,0.27,4,Sprout,4,2
Ginny,7,2,15,3,27,0.0,15,0.27,3,Hagrid,1,5
Ron,2,4,19,1,43,0.29,39,0.43,2,Lupin,2,2
Ron,45,2,0,1,24,0.31,20,0.74,2,Dumbledore,2,9
Fred,19,2,0,2,9,0.53,20,0.49,4,Snape,2,10
Ginny,3,2,4,3,16,0.23,4,0.16,3,Sprout,1,9
Fred,23,8,7,2,16,1.49,13,0.42,4,Mcgonagall,4,6
George,45,8,0,2,28,1.87,20,0.68,4,Dumbledore,4,3
Draco,17,6,0,2,12,0.24,10,0.32,4,Dumbledore,2,5
Ginny,10,6,4,3,16,0.75,4,0.16,3,Sprout,3,2
Ginny,5,6,9,3,21,0.92,9,0.21,3,Trelawney,3,7
Ron,0,12,22,1,46,0.55,42,0.46,2,Sprout,4,4
George,46,3,18,2,46,2.29,2,0.5,4,Sprout,3,2
Draco,21,2,3,2,15,0.67,7,0.29,4,Snape,2,1
Ron,45,3,15,1,39,0.66,35,0.89,2,Snape,1,9
Goyle,31,6,29,2,46,2.64,0,0.37,4,Sprout,3,6
Harry,0,9,25,0,36,0.0,35,0.36,0,Sprout,3,1
Ron,1,3,22,1,46,0.25,42,0.46,2,Sprout,1,3
Ginny,2,9,27,3,39,1.91,27,0.39,3,Snape,3,10
Goyle,29,2,10,2,27,0.0,0,0.37,4,Hagrid,1,8
Harry,46,9,2,0,13,0.0,12,0.63,0,Lupin,3,5
George,40,6,15,2,43,1.21,5,0.53,4,Lupin,3,8
Sedric,35,2,29,2,43,0.0,1,0.45,4,Lupin,1,9
Sedric,34,4,7,2,21,1.14,23,0.67,4,Trelawney,2,10
Crabbe,23,6,6,2,33,0.8,0,0.27,4,Trelawney,2,4
Draco,17,6,3,2,15,0.72,7,0.29,4,Snape,2,5
Crabbe,25,6,0,2,27,0.9,0,0.27,4,Dumbledore,2,2
Goyle,35,1,10,2,27,0.99,0,0.37,4,Hagrid,1,2
Fred,21,8,18,2,27,1.62,2,0.31,4,Hagrid,4,8
Ginny,8,8,15,3,27,1.43,15,0.27,3,Hagrid,4,4
Crabbe,17,3,0,2,27,0.37,0,0.27,4,Hagrid,1,10
George,38,2,29,2,57,0.93,9,0.57,4,Hagrid,2,10
Draco,21,8,15,2,27,1.79,5,0.27,4,Hagrid,4,1
Crabbe,22,12,14,2,41,1.79,0,0.27,4,Lupin,4,5
Ginny,9,6,4,3,16,0.7,4,0.16,3,Sprout,3,3
George,38,3,18,2,46,1.23,2,0.5,4,Sprout,3,10
George,47,2,15,2,43,2.22,5,0.53,4,Lupin,2,1
Ron,46,8,27,1,51,1.81,47,1.01,2,Trelawney,4,8
Ron,2,4,22,1,46,0.33,42,0.46,2,Sprout,4,2
Ginny,3,12,0,3,12,0.19,0,0.12,3,Dumbledore,4,9
George,46,12,4,2,32,2.48,16,0.64,4,Mcgonagall,4,2
Goyle,33,3,0,2,17,0.73,0,0.37,4,Dumbledore,1,4
Goyle,31,3,4,2,21,0.49,0,0.37,4,Trelawney,1,6
Harry,47,12,10,0,21,0.0,20,0.71,0,Trelawney,4,4
Harry,46,6,16,0,27,0.0,26,0.77,0,Hagrid,3,5
Sedric,36,4,29,2,43,3.23,1,0.45,4,Lupin,4,8
Ron,49,1,22,1,46,0.49,42,0.96,2,Sprout,1,5
Fred,28,12,18,2,27,1.28,2,0.31,4,Hagrid,4,1
Crabbe,23,4,18,2,45,1.14,0,0.27,4,Snape,4,4
Harry,0,3,10,0,21,0.0,20,0.21,0,Trelawney,1,1
Crabbe,19,12,18,2,45,1.54,0,0.27,4,Snape,4,8
Ginny,11,6,15,3,27,0.54,15,0.27,3,Hagrid,2,1
Draco,15,3,1,2,13,0.7,9,0.31,4,Lupin,3,7
Draco,13,12,3,2,15,0.8,7,0.29,4,Snape,4,9
Goyle,32,4,29,2,46,0.85,0,0.37,4,Sprout,2,5
Ron,47,1,22,1,46,0.48,42,0.96,2,Mcgonagall,1,7
Ginny,3,2,15,3,27,0.75,15,0.27,3,Hagrid,2,9
George,38,6,15,2,43,1.9,5,0.53,4,Lupin,3,10
Goyle,34,4,22,2,39,1.55,0,0.37,4,Snape,2,3
Fred,21,2,0,2,9,0.58,20,0.49,4,Snape,2,8
Draco,20,2,1,2,13,0.46,9,0.31,4,Lupin,1,2
Ron,1,4,15,1,39,0.11,35,0.39,2,Snape,2,3
Crabbe,23,9,18,2,45,1.8,0,0.27,4,Snape,3,4
Hermiona,33,3,19,2,0,1.14,0,0.38,4,Snape,3,5
Hermiona,33,6,19,2,0,1.14,0,0.38,4,Snape,3,5
Ron,49,2,27,1,51,0.0,47,1.01,2,Trelawney,1,5
Ron,48,12,0,1,24,1.0,20,0.74,2,Dumbledore,4,6
Goyle,32,4,22,2,39,2.68,0,0.37,4,Snape,4,5
Goyle,33,3,15,2,32,0.67,0,0.37,4,Mcgonagall,1,4
Hermiona,34,2,19,2,0,1.16,0,0.38,4,Snape,1,4
Hermiona,35,4,18,2,0,1.47,0,0.38,4,Sprout,2,3
Sedric,43,3,5,2,19,1.05,25,0.69,4,Snape,1,1
Hermiona,32,3,23,2,0,0.76,0,0.38,4,Trelawney,1,6
Hermiona,33,8,26,2,0,1.64,0,0.38,4,Mcgonagall,4,5
George,46,4,23,2,51,2.47,3,0.51,4,Trelawney,2,2
George,45,3,18,2,46,2.26,2,0.5,4,Sprout,3,3
Ginny,5,9,20,3,32,0.82,20,0.32,3,Mcgonagall,3,7
Goyle,33,6,26,2,43,2.11,0,0.37,4,Lupin,3,4
Ginny,11,4,27,3,39,0.79,27,0.39,3,Snape,2,1
Harry,42,9,6,0,17,0.0,16,0.67,0,Snape,3,9
Ginny,2,8,27,3,39,1.81,27,0.39,3,Snape,4,10
Goyle,27,8,0,2,17,1.12,0,0.37,4,Dumbledore,4,10
Fred,24,3,12,2,21,0.0,8,0.37,4,Trelawney,1,5
George,47,3,15,2,43,2.22,5,0.53,4,Lupin,3,1
Sedric,36,1,12,2,26,0.67,18,0.62,4,Mcgonagall,1,8
Ron,3,9,15,1,39,0.2,35,0.39,2,Snape,3,1
Sedric,40,4,29,2,43,0.96,1,0.45,4,Lupin,2,4
Sedric,41,6,5,2,19,1.65,25,0.69,4,Snape,2,3
George,47,3,18,2,46,2.86,2,0.5,4,Sprout,3,1
Sedric,39,4,29,2,43,1.89,1,0.45,4,Lupin,2,5
Ron,48,9,15,1,39,1.38,35,0.89,2,Snape,3,6
Draco,13,4,1,2,13,0.39,9,0.31,4,Lupin,4,9
Hermiona,33,6,18,2,0,1.83,0,0.38,4,Sprout,3,5
Sedric,37,2,7,2,21,1.22,23,0.67,4,Trelawney,2,7
Sedric,41,8,0,2,14,1.14,30,0.74,4,Dumbledore,4,3
Hermiona,37,3,0,2,0,1.63,0,0.38,4,Dumbledore,3,1
Crabbe,23,3,0,2,27,1.01,0,0.27,4,Hagrid,3,4
Ron,2,2,3,1,27,0.05,23,0.27,2,Hagrid,1,2
Crabbe,18,6,14,2,41,0.89,0,0.27,4,Lupin,2,9
Hermiona,33,4,18,2,0,0.71,0,0.38,4,Sprout,2,5
Ron,3,12,22,1,46,0.52,42,0.46,2,Mcgonagall,4,1
Hermiona,29,3,18,2,0,1.68,0,0.38,4,Sprout,3,9
Ginny,4,4,27,3,39,1.67,27,0.39,3,Snape,2,8
George,42,3,15,2,43,1.25,5,0.53,4,Lupin,1,6
Hermiona,35,8,0,2,0,1.74,0,0.38,4,Dumbledore,4,3
George,38,4,29,2,57,2.79,9,0.57,4,Hagrid,4,10
Draco,19,1,3,2,15,0.0,7,0.29,4,Snape,1,3
Ginny,11,12,9,3,21,1.25,9,0.21,3,Trelawney,4,1
Ginny,11,3,4,3,16,0.0,4,0.16,3,Sprout,1,1
Sedric,35,12,13,2,27,2.0,17,0.61,4,Hagrid,4,9
Ron,47,6,15,1,39,0.43,35,0.89,2,Snape,2,7
Harry,0,8,2,0,13,0.0,12,0.13,0,Lupin,4,1
Ron,45,3,19,1,43,0.7,39,0.93,2,Lupin,1,9
Hermiona,31,4,29,2,0,1.66,0,0.38,4,Hagrid,2,7
Ginny,6,2,1,3,13,0.15,1,0.13,3,Lupin,2,6
Draco,20,6,0,2,12,0.55,10,0.32,4,Dumbledore,2,2
Draco,20,4,1,2,13,0.58,9,0.31,4,Lupin,2,2
Ginny,8,3,0,3,12,0.26,0,0.12,3,Dumbledore,3,4
Harry,46,12,25,0,36,0.0,35,0.86,0,Sprout,4,5
Ginny,9,4,9,3,21,0.75,9,0.21,3,Trelawney,4,3
Ron,45,3,0,1,24,0.49,20,0.74,2,Dumbledore,1,9
Harry,49,12,10,0,21,0.0,20,0.71,0,Trelawney,4,2
Goyle,32,12,26,2,43,2.88,0,0.37,4,Lupin,4,5
Goyle,31,4,0,2,17,0.86,0,0.37,4,Dumbledore,4,6
Crabbe,21,3,6,2,33,0.0,0,0.27,4,Trelawney,1,6
Draco,13,3,3,2,15,0.0,7,0.29,4,Snape,1,9
Goyle,33,4,29,2,46,3.08,0,0.37,4,Sprout,4,4
Draco,13,2,10,2,22,0.0,0,0.22,4,Mcgonagall,1,9
Sedric,34,4,13,2,27,1.3,17,0.61,4,Hagrid,4,10
Ginny,10,2,0,3,12,0.33,0,0.12,3,Dumbledore,1,2
Sedric,40,8,13,2,27,1.47,17,0.61,4,Hagrid,4,4
Hermiona,34,4,15,2,0,1.76,0,0.38,4,Lupin,2,4
Draco,14,3,10,2,22,0.33,0,0.22,4,Mcgonagall,1,8
Harry,43,4,25,0,36,0.0,35,0.86,0,Sprout,2,8
Draco,20,4,9,2,21,0.8,1,0.23,4,Trelawney,4,2
Goyle,28,2,15,2,32,0.0,0,0.37,4,Mcgonagall,1,9
Ron,3,12,19,1,43,0.55,39,0.43,2,Lupin,4,1
Ron,44,1,22,1,46,0.46,42,0.96,2,Sprout,1,10
Goyle,32,12,22,2,39,1.5,0,0.37,4,Snape,4,5
Draco,12,12,0,2,12,0.33,10,0.32,4,Dumbledore,4,10
Fred,25,6,23,2,32,2.11,3,0.32,4,Sprout,3,4
George,45,3,23,2,51,0.94,3,0.51,4,Trelawney,1,3
Ginny,10,3,4,3,16,0.92,4,0.16,3,Sprout,3,2
Harry,49,1,10,0,21,0.0,20,0.71,0,Trelawney,1,2
George,39,1,0,2,28,0.54,20,0.68,4,Dumbledore,1,9
George,43,3,18,2,46,1.34,2,0.5,4,Sprout,3,5
George,40,2,29,2,57,0.0,9,0.57,4,Hagrid,1,8
Goyle,32,4,10,2,27,1.16,0,0.37,4,Hagrid,2,5
Crabbe,23,4,0,2,27,0.32,0,0.27,4,Dumbledore,2,4
Harry,0,9,0,0,11,0.0,10,0.11,0,Dumbledore,3,1
Crabbe,19,6,25,2,52,0.97,0,0.27,4,Mcgonagall,3,8
Harry,47,4,25,0,36,0.0,35,0.86,0,Sprout,2,4
Sedric,35,4,7,2,21,1.51,23,0.67,4,Trelawney,2,9
Draco,18,8,15,2,27,0.91,5,0.27,4,Hagrid,4,4
Ron,48,2,15,1,39,0.44,35,0.89,2,Snape,2,6
Draco,16,2,10,2,22,0.93,0,0.22,4,Mcgonagall,2,6
Goyle,34,1,29,2,46,0.87,0,0.37,4,Sprout,1,3
Draco,15,3,1,2,13,0.35,9,0.31,4,Lupin,1,7
Hermiona,36,6,26,2,0,0.86,0,0.38,4,Mcgonagall,2,2
Draco,12,2,15,2,27,0.97,5,0.27,4,Hagrid,2,10
Ginny,6,4,0,3,12,0.32,0,0.12,3,Dumbledore,2,6
Crabbe,23,4,0,2,27,1.14,0,0.27,4,Dumbledore,4,4
Hermiona,32,8,29,2,0,1.69,0,0.38,4,Hagrid,4,6
Sedric,43,1,5,2,19,0.67,25,0.69,4,Snape,1,1
Ginny,2,3,15,3,27,0.91,15,0.27,3,Hagrid,3,10
Crabbe,23,9,25,2,52,1.72,0,0.27,4,Mcgonagall,3,4
Crabbe,25,4,11,2,38,0.5,0,0.27,4,Sprout,2,2
Draco,18,1,15,2,27,0.46,5,0.27,4,Hagrid,1,4
Goyle,31,8,0,2,17,0.86,0,0.37,4,Dumbledore,4,6
Crabbe,25,9,11,2,38,1.58,0,0.27,4,Sprout,3,2
Goyle,33,3,10,2,27,1.89,0,0.37,4,Hagrid,3,4
Goyle,27,6,10,2,27,1.33,0,0.37,4,Hagrid,3,10
Harry,45,1,16,0,27,0.0,26,0.77,0,Hagrid,1,6
Hermiona,36,2,23,2,0,0.0,0,0.38,4,Trelawney,1,2
Hermiona,35,2,29,2,0,1.41,0,0.38,4,Hagrid,1,3
Draco,13,3,0,2,12,0.29,10,0.32,4,Dumbledore,3,9
Harry,44,9,16,0,27,0.0,26,0.77,0,Hagrid,3,7
Ginny,2,9,15,3,27,0.56,15,0.27,3,Hagrid,3,10
Draco,21,2,10,2,22,0.0,0,0.22,4,Mcgonagall,1,1
Draco,15,6,3,2,15,0.65,7,0.29,4,Snape,2,7
Ron,47,4,19,1,43,0.91,39,0.93,2,Lupin,4,7
Hermiona,28,4,15,2,0,1.54,0,0.38,4,Lupin,2,10
Ginny,6,6,9,3,21,0.81,9,0.21,3,Trelawney,3,6
Harry,45,4,25,0,36,0.0,35,0.86,0,Sprout,2,6
Goyle,33,8,10,2,27,2.14,0,0.37,4,Hagrid,4,4
Ron,3,8,27,1,51,0.62,47,0.51,2,Trelawney,4,1
Goyle,36,3,29,2,46,0.0,0,0.37,4,Sprout,1,1
Ginny,10,6,15,3,27,1.04,15,0.27,3,Hagrid,2,2
Ginny,11,8,15,3,27,1.08,15,0.27,3,Hagrid,4,1
Hermiona,31,6,26,2,0,0.79,0,0.38,4,Mcgonagall,2,7
Ginny,6,3,20,3,32,0.54,20,0.32,3,Mcgonagall,1,6
Draco,14,9,0,2,12,0.5,10,0.32,4,Dumbledore,3,8
Ron,3,2,0,1,24,0.05,20,0.24,2,Dumbledore,2,1
Fred,21,8,4,2,13,1.24,16,0.45,4,Lupin,4,8
Harry,0,1,0,0,11,0.0,10,0.11,0,Dumbledore,1,1
Draco,21,2,3,2,15,0.53,7,0.29,4,Snape,1,1
Goyle,33,12,15,2,32,2.0,0,0.37,4,Mcgonagall,4,4
Fred,24,4,0,2,9,0.33,20,0.49,4,Snape,2,5
Hermiona,33,6,19,2,0,1.86,0,0.38,4,Snape,3,5
George,43,3,18,2,46,1.34,2,0.5,4,Sprout,1,5
Ron,48,12,15,1,39,1.57,35,0.89,2,Snape,4,6
Crabbe,21,3,25,2,52,1.01,0,0.27,4,Mcgonagall,1,6
Ron,46,4,27,1,51,1.01,47,1.01,2,Trelawney,2,8
Fred,21,1,4,2,13,0.35,16,0.45,4,Lupin,1,8
George,44,9,29,2,57,2.62,9,0.57,4,Hagrid,3,4
Goyle,34,12,10,2,27,1.22,0,0.37,4,Hagrid,4,3
Hermiona,34,12,29,2,0,1.75,0,0.38,4,Hagrid,4,4
Crabbe,17,1,25,2,52,0.92,0,0.27,4,Mcgonagall,1,10
Hermiona,28,1,0,2,0,0.0,0,0.38,4,Dumbledore,1,10
Draco,15,6,15,2,27,1.08,5,0.27,4,Hagrid,2,7
George,39,1,29,2,57,0.94,9,0.57,4,Hagrid,1,9
Goyle,32,3,0,2,17,0.7,0,0.37,4,Dumbledore,1,5
Ginny,7,4,4,3,16,0.46,4,0.16,3,Sprout,4,5
Hermiona,36,6,0,2,0,1.0,0,0.38,4,Dumbledore,2,2
Draco,21,9,9,2,21,1.08,1,0.23,4,Trelawney,3,1
Ron,47,4,19,1,43,1.37,39,0.93,2,Lupin,4,7
Fred,24,1,7,2,16,0.43,13,0.42,4,Mcgonagall,1,5
Hermiona,33,6,29,2,0,1.72,0,0.38,4,Hagrid,2,5
Goyle,32,2,29,2,46,1.34,0,0.37,4,Sprout,1,5
Sedric,41,6,5,2,19,0.64,25,0.69,4,Snape,2,3
Goyle,34,1,10,2,27,0.97,0,0.37,4,Hagrid,1,3
Crabbe,25,4,0,2,27,0.35,0,0.27,4,Dumbledore,2,2
Fred,23,6,12,2,21,1.25,8,0.37,4,Trelawney,3,6
Ron,47,6,22,1,46,0.48,42,0.96,2,Mcgonagall,2,7
Goyle,32,4,22,2,39,1.94,0,0.37,4,Snape,2,5
Goyle,27,4,26,2,43,1.47,0,0.37,4,Lupin,4,10
Crabbe,21,2,0,2,27,0.29,0,0.27,4,Hagrid,1,6
Draco,21,12,1,2,13,1.09,9,0.31,4,Lupin,4,1
Fred,28,4,18,2,27,2.29,2,0.31,4,Hagrid,4,1
Sedric,41,2,29,2,43,0.97,1,0.45,4,Lupin,2,3
Draco,15,1,15,2,27,0.42,5,0.27,4,Hagrid,1,7
Fred,28,12,0,2,9,1.16,20,0.49,4,Snape,4,1
Harry,43,3,16,0,27,0.0,26,0.77,0,Hagrid,3,8
Hermiona,31,9,23,2,0,1.19,0,0.38,4,Trelawney,3,7
Ginny,4,6,0,3,12,0.22,0,0.12,3,Dumbledore,3,8
Fred,26,2,4,2,13,0.42,16,0.45,4,Lupin,2,3
Sedric,38,1,29,2,43,0.0,1,0.45,4,Lupin,1,6
Crabbe,18,9,25,2,52,1.89,0,0.27,4,Mcgonagall,3,9
George,43,4,11,2,39,1.5,9,0.57,4,Snape,2,5
Goyle,34,2,4,2,21,1.05,0,0.37,4,Trelawney,2,3
Hermiona,31,2,26,2,0,0.0,0,0.38,4,Mcgonagall,1,7
Sedric,40,3,0,2,14,0.88,30,0.74,4,Dumbledore,3,4
Crabbe,26,8,25,2,52,2.12,0,0.27,4,Mcgonagall,4,1
Ron,49,2,19,1,43,0.47,39,0.93,2,Lupin,1,5
Fred,23,8,12,2,21,1.74,8,0.37,4,Trelawney,4,6
Ron,2,9,19,1,43,0.38,39,0.43,2,Lupin,3,2
Crabbe,19,2,0,2,27,0.26,0,0.27,4,Hagrid,1,8
Sedric,37,6,7,2,21,0.61,23,0.67,4,Trelawney,2,7
Ginny,10,3,1,3,13,0.36,1,0.13,3,Lupin,1,2
Goyle,28,2,4,2,21,0.44,0,0.37,4,Trelawney,1,9
Ginny,6,2,20,3,32,0.54,20,0.32,3,Mcgonagall,2,6
Goyle,31,6,15,2,32,1.28,0,0.37,4,Mcgonagall,2,6
George,41,4,15,2,43,1.55,5,0.53,4,Lupin,2,7
Ginny,11,12,20,3,32,2.31,20,0.32,3,Mcgonagall,4,1
Fred,27,2,0,2,9,0.97,20,0.49,4,Dumbledore,2,2
Hermiona,32,6,29,2,0,0.85,0,0.38,4,Hagrid,2,6
Ginny,11,4,4,3,16,0.81,4,0.16,3,Sprout,2,1
Sedric,38,8,5,2,19,2.14,25,0.69,4,Snape,4,6
George,45,1,18,2,46,1.38,2,0.5,4,Sprout,1,3
Draco,13,1,9,2,21,0.0,1,0.23,4,Trelawney,1,9
Ron,46,6,19,1,43,0.45,39,0.93,2,Lupin,2,8
Ginny,6,2,1,3,13,0.23,1,0.13,3,Lupin,1,6
Ron,2,3,19,1,43,0.15,39,0.43,2,Lupin,1,2
Sedric,39,4,0,2,14,1.4,30,0.74,4,Dumbledore,2,5
Harry,47,8,9,0,20,0.0,19,0.7,0,Mcgonagall,4,4
Sedric,43,8,0,2,14,2.14,30,0.74,4,Dumbledore,4,1
Fred,19,4,7,2,16,0.36,13,0.42,4,Mcgonagall,2,10
Goyle,27,3,10,2,27,0.81,0,0.37,4,Hagrid,1,10
Hermiona,33,6,0,2,0,0.73,0,0.38,4,Dumbledore,3,5
Harry,43,8,0,0,11,0.0,10,0.61,0,Dumbledore,4,8
George,47,2,0,2,28,0.65,20,0.68,4,Dumbledore,1,1
George,43,1,4,2,32,1.03,16,0.64,4,Mcgonagall,1,5
Ginny,10,6,27,3,39,1.99,27,0.39,3,Snape,3,2
Fred,24,1,7,2,16,0.68,13,0.42,4,Mcgonagall,1,5
Draco,12,3,1,2,13,0.0,9,0.31,4,Lupin,1,10
Hermiona,30,2,18,2,0,0.67,0,0.38,4,Sprout,2,8
Draco,14,12,26,2,38,1.66,16,0.38,4,Sprout,4,8
Hermiona,32,12,19,2,0,2.53,0,0.38,4,Snape,4,6
Goyle,31,4,4,2,21,0.49,0,0.37,4,Trelawney,2,6
Sedric,37,6,5,2,19,0.58,25,0.69,4,Snape,2,7
Goyle,34,9,15,2,32,1.08,0,0.37,4,Mcgonagall,3,3
Fred,19,3,18,2,27,0.51,2,0.31,4,Hagrid,1,10
Draco,20,6,15,2,27,1.25,5,0.27,4,Hagrid,2,2
Draco,19,1,1,2,13,0.44,9,0.31,4,Lupin,1,3
Sedric,38,4,5,2,19,1.54,25,0.69,4,Snape,2,6
Fred,24,4,0,2,9,0.86,20,0.49,4,Dumbledore,2,5
Hermiona,32,8,29,2,0,3.03,0,0.38,4,Hagrid,4,6
Fred,24,8,4,2,13,1.39,16,0.45,4,Lupin,4,5
Hermiona,28,8,29,2,0,1.58,0,0.38,4,Hagrid,4,10
Crabbe,23,2,0,2,27,0.0,0,0.27,4,Hagrid,1,4
Ron,2,6,22,1,46,0.33,42,0.46,2,Sprout,2,2
Harry,45,6,9,0,20,0.0,19,0.7,0,Mcgonagall,3,6
Ginny,4,8,9,3,21,0.81,9,0.21,3,Trelawney,4,8
Ron,44,4,22,1,46,0.91,42,0.96,2,Mcgonagall,4,10
Ron,44,6,0,1,24,0.3,20,0.74,2,Dumbledore,2,10
Goyle,28,3,0,2,17,0.0,0,0.37,4,Dumbledore,1,9
Ginny,9,6,4,3,16,0.86,4,0.16,3,Sprout,3,3
Hermiona,28,2,15,2,0,1.19,0,0.38,4,Lupin,2,10
Goyle,33,12,29,2,46,2.58,0,0.37,4,Sprout,4,4
Goyle,32,9,26,2,43,2.08,0,0.37,4,Lupin,3,5
Fred,21,9,0,2,9,0.46,20,0.49,4,Dumbledore,3,8
George,40,2,18,2,46,0.8,2,0.5,4,Sprout,2,8
Crabbe,22,9,0,2,27,0.97,0,0.27,4,Dumbledore,3,5
Crabbe,22,4,11,2,38,0.91,0,0.27,4,Sprout,2,5
Draco,17,6,26,2,38,0.6,16,0.38,4,Sprout,2,5
Harry,43,2,6,0,17,0.0,16,0.67,0,Snape,2,8
Sedric,40,4,5,2,19,0.62,25,0.69,4,Snape,2,4
Crabbe,22,12,11,2,38,1.64,0,0.27,4,Sprout,4,5
George,44,4,4,2,32,2.39,16,0.64,4,Mcgonagall,4,4
Fred,26,4,0,2,9,1.08,20,0.49,4,Dumbledore,4,3
Sedric,37,2,13,2,27,1.39,17,0.61,4,Hagrid,2,7
Hermiona,37,3,19,2,0,1.23,0,0.38,4,Snape,3,1
George,47,6,15,2,43,1.72,5,0.53,4,Lupin,2,1
Sedric,40,2,13,2,27,0.0,17,0.61,4,Hagrid,1,4
Fred,25,12,23,2,32,2.39,3,0.32,4,Sprout,4,4
Fred,26,3,23,2,32,0.68,3,0.32,4,Sprout,1,3
